"Sort 
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe,,,,,,,,,,,,,,,
1,WORLD,,900,,, 231 522 215, 2 554 298, 4 100 834, 5 108 886, 1 250 192, 1 716 202,  2 863,  7 613,  512 125,  3 895,  56 700,  980 580,  777 313,  15 468,  483 374,  517 988, 1 279 672,  45 950,  61 719, 7 757 662,  100 224, 1 570 882,  518 951,  62 570,  480 262,  12 766,  90 123,  764 862, 1 524 583,  56 392, 1 769 639,  8 448,  48 459, 1 378 735, 1 641 243,  273 084, 1 113 662,  345 240, 1 307 417,  171 685,  11 129,  4 391,  135 587,  348 555,  27 767,  604 008, 9 344 919,  788 568,  136 980, 2 448 385,  108 901,  185 116,  25 507,  130 364,  978 250,  757 903, 1 476 344,  84 611,  148 102,  449 766,  211 216, 1 200 776,  252 435,  14 085,  74 793, 1 190 441, 1 144 408, 3 469 449, 1 526 093,  119 125,  356 702,  186 281,  585 853,  13 390,   330,  197 057,  308 420, 2 061 829,  4 376,  4 440,  31 177,  69 334,  739 045, 3 970 078,  719 236,  15 740,  903 714,  17 729,  57 910,  15 382,  2 789, 1 049 865,  395 857,  90 392,  462 187, 1 170 752,   192,  659 606,  527 429,  35 771, 14 165 774, 2 992 338, 1 058 557, 2 318 696,  771 572,  1 241,  356 445, 2 963 875, 1 094 899,  882 123,  639 233, 3 787 623,  439 925,  4 793,  323 034,  718 186, 1 291 837,  333 632,  683 061,  323 320,  352 252,  142 192,  3 918,  570 979,  56 076,  164 873,  282 036, 1 673 671,  1 327,  869 894,  109 541,  9 821,  17 273,  135 803,  169 374,  7 085, 13 212 419,  29 318,  52 544,  65 654,  283 180,  14 586, 2 854 502,  797 355, 2 647 982,  137 498,  1 549, 1 044 688,  998 666,  6 355,  754 943,  655 117,  271 493, 1 029 466,  7 127,  10 043,  197 601,  24 029, 5 682 673,  5 532,  149 952,  39 066,  770 441, 1 373 387, 5 481 683, 3 662 384, 1 984 230, 1 712 357,  19 927, 2 594 382,  851 512,  2 749, 3 333 290, 10 835 088,  320 678,  1 395,  28 756,  56 027,   505,  60 295,  129 150,  3 334,  36 082,  262 851,  533 085, 1 317 970,  9 426,  332 380,  303 394,  21 061,  349 279,  158 076,  3 631, 1 921 361,  786 618,  777 847, 1 170 717, 1 245 187, 3 640 155, 1 158 816,  262 006,  96 813,  335 762,  620 378,  680 959,  602 840,  894 259,  515 396,  33 382,  456 181,  2 762,  60 319,  374 092,  643 612, 3 108 971,  244 921,  1 665,  4 021,  628 882, 5 560 188,  131 494, 5 178 027,  248 878, 2 979 930,  4 176,  336 741, 1 894 542,  8 766,  630 686, 2 600 693,  8 566,  101 565,  923 235,  228 779,  656 207,,,,,,,,,,,,,,,
2,More developed regions,(c),901,,, 135 583 436,  891 056,  684 710,  416 685, 1 243 749, 1 619 259,  1 030,  7 498,  221 068,  1 822,  25 882,  637 858,  734 053,  9 830,  394 726,  476 770,  909 757,  43 989,  13 774,  671 762,  94 653, 1 375 905,  477 997,  55 856,  27 917,  12 522,  3 492,  310 658, 1 520 153,  3 598, 1 396 824,  4 090,  16 131,  631 779,  24 945,  20 418,  311 017,  194 550, 1 176 989,  150 086,  7 760,  4 245,  18 191,  10 148,  27 631,  325 683, 5 044 033,  690 145,  21 985, 1 299 524,  36 389,  107 142,  25 463,  97 848,  139 838,  753 625, 1 391 255,  69 767,  129 741,  441 093,  18 715,  171 284,  236 894,  7 942,  52 141, 1 066 097, 1 060 613,  510 656, 1 459 452,  25 448,  124 203,  176 095,  331 158,  13 375,   247,  194 358,  300 375, 1 516 547,   253,  3 570,  22 560,  53 205,  626 337, 3 282 642,  382 583,  15 646,  766 161,  17 213,  49 016,  3 883,   200,  965 769,  75 724,  40 306,  412 156,  817 857,   188,  598 382,  506 150,  34 953, 4 177 249,  423 163,  953 459,  715 615,  753 572,  1 238,  273 806, 2 635 636, 1 060 554,  580 707,  127 244, 3 606 622,  333 281,  3 699,  66 527,  671 487,  272 107,  315 067,  513 939,  1 373,  95 806,  80 394,  3 777,  530 068,  55 595,  128 458,  21 574,  342 603,   921,  96 646,  109 007,  9 171,  2 345,  29 779,  152 493,   18, 13 133 670,  19 887,  51 945,  37 350,  227 920,  11 626, 2 629 819,  89 485,  149 702,  4 647,  1 316,  188 649,  881 651,  2 043,  702 650,  309 002,  9 505,  632 782,  7 073,  7 385,  172 046,  10 539, 1 331 846,  3 042,  123 586,  38 786,  121 645,  908 763, 3 257 427, 3 502 186, 1 713 004, 1 685 712,  5 525, 2 247 639,  794 456,   389, 3 176 062, 6 885 807,  19 950,   168,  15 432,  39 529,   451,  44 503,  97 695,  3 261,  19 217,  144 217,  281 591, 1 200 907,  7 911,  71 754,  174 847,  17 911,  347 688,  156 250,  3 152,  366 492,  659 524,  59 853,  875 986,  665 014,  70 229,  54 531,  224 579,  3 177,  317 071,  575 544,  263 428,  511 098,  654 404,  465 619,  13 187,  47 163,  2 610,  57 890,  352 362,  589 801, 2 787 349,  219 951,  1 349,  2 503,  112 121, 4 832 724,  43 456, 4 458 581,  88 053, 1 202 687,   73,  165 701, 1 477 566,  2 805,  496 497, 2 263 164,   109,   103,  76 046,  59 959,  198 358,,,,,,,,,,,,,,,
3,Less developed regions,(d),902,,, 95 938 779, 1 663 242, 3 416 124, 4 692 201,  6 443,  96 943,  1 833,   115,  291 057,  2 073,  30 818,  342 722,  43 260,  5 638,  88 648,  41 218,  369 915,  1 961,  47 945, 7 085 900,  5 571,  194 977,  40 954,  6 714,  452 345,   244,  86 631,  454 204,  4 430,  52 794,  372 815,  4 358,  32 328,  746 956, 1 616 298,  252 666,  802 645,  150 690,  130 428,  21 599,  3 369,   146,  117 396,  338 407,   136,  278 325, 4 300 886,  98 423,  114 995, 1 148 861,  72 512,  77 974,   44,  32 516,  838 412,  4 278,  85 089,  14 844,  18 361,  8 673,  192 501, 1 029 492,  15 541,  6 143,  22 652,  124 344,  83 795, 2 958 793,  66 641,  93 677,  232 499,  10 186,  254 695,   15,   83,  2 699,  8 045,  545 282,  4 123,   870,  8 617,  16 129,  112 708,  687 436,  336 653,   94,  137 553,   516,  8 894,  11 499,  2 589,  84 096,  320 133,  50 086,  50 031,  352 895,   4,  61 224,  21 279,   818, 9 988 525, 2 569 175,  105 098, 1 603 081,  18 000,   3,  82 639,  328 239,  34 345,  301 416,  511 989,  181 001,  106 644,  1 094,  256 507,  46 699, 1 019 730,  18 565,  169 122,  321 947,  256 446,  61 798,   141,  40 911,   481,  36 415,  260 462, 1 331 068,   406,  773 248,   534,   650,  14 928,  106 024,  16 881,  7 067,  78 749,  9 431,   599,  28 304,  55 260,  2 960,  224 683,  707 870, 2 498 280,  132 851,   233,  856 039,  117 015,  4 312,  52 293,  346 115,  261 988,  396 684,   54,  2 658,  25 555,  13 490, 4 350 827,  2 490,  26 366,   280,  648 796,  464 624, 2 224 256,  160 198,  271 226,  26 645,  14 402,  346 743,  57 056,  2 360,  157 228, 3 949 281,  300 728,  1 227,  13 324,  16 498,   54,  15 792,  31 455,   73,  16 865,  118 634,  251 494,  117 063,  1 515,  260 626,  128 547,  3 150,  1 591,  1 826,   479, 1 554 869,  127 094,  717 994,  294 731,  580 173, 3 569 926, 1 104 285,  37 427,  93 636,  18 691,  44 834,  417 531,  91 742,  239 855,  49 777,  20 195,  409 018,   152,  2 429,  21 730,  53 811,  321 622,  24 970,   316,  1 518,  516 761,  727 464,  88 038,  719 446,  160 825, 1 777 243,  4 103,  171 040,  416 976,  5 961,  134 189,  337 529,  8 457,  101 462,  847 189,  168 820,  457 849,,,,,,,,,,,,,,,
4,Least developed countries,(e),941,,, 10 958 217,  274 129,  822 420,   2,0,  10 851,  1 812,0,  192 340,0,  21 264,  1 075,0,0,  2 361,   352,0,0,  29 603,  2 956,0,0,  1 415,0,  84 422,0,  79 823,0,0,   222,  15 843,0,0,0,  53 328,  243 348,  20 549,  42 804,  2 705,  15 829,0,0,  92 935,  149 016,0,   725,  259 746,   119,0,  1 651,  6 286,  38 875,   16,   546,  818 320,0,  2 576,0,0,0,   324,  717 898,   214,  3 827,0,  4 799,0,  30 000,0,   488,  159 464,0,  92 139,0,0,   743,0,  50 269,0,   366,  5 906,  9 761,0,  5 792,  96 759,0,   36,0,0,0,0,0,  200 988,  37 701,0,   4,0,0,0,0,  956 801,  161 943,   39,  10 514,   29,0,0,  4 260,0,  14 615,0,0,  85 684,   47,   69,0,  86 865,0,  4 756,  7 841,  141 996,  3 220,0,0,0,  9 607,  87 743,  229 607,0,  159 644,0,0,0,  59 198,   504,0,   610,0,0,0,0,0,  3 963,  73 642,  197 997,  1 528,   151,  39 152,   336,   251,  2 500,0,  113 126,  127 469,   8,0,  14 047,   11,  72 443,0,0,   117,0,   704,  1 006,0,  18 638,  3 082,   25,   548,0,   850,   40,  1 017,  270 724,0,0,0,0,0,   5,0,  8 865,  2 322,  178 470,0,   374,  255 131,  9 625,0,0,0,   135,  798 672,  25 186,  608 026,  4 066,   703,  4 072,  581 468,0,   113,   113,  1 072,  3 254,  24 658,  43 698,0,0,  76 055,   122,   118,0,   602,0,0,0,  1 131,  237 081,   54,   151,  38 447,  113 929,  55 928,0,   571,  1 232,   416,  5 005,  76 048,   734,0,   556,  56 653,  66 647,,,,,,,,,,,,,,,
5,Less developed regions excluding least developed countries,,934,,, 84 980 562, 1 389 113, 2 593 704, 4 692 199,  6 443,  86 092,   21,   115,  98 717,  2 073,  9 554,  341 647,  43 260,  5 638,  86 287,  40 866,  369 915,  1 961,  18 342, 7 082 944,  5 571,  194 977,  39 539,  6 714,  367 923,   244,  6 808,  454 204,  4 430,  52 572,  356 972,  4 358,  32 328,  746 956, 1 562 970,  9 318,  782 096,  107 886,  127 723,  5 770,  3 369,   146,  24 461,  189 391,   136,  277 600, 4 041 140,  98 304,  114 995, 1 147 210,  66 226,  39 099,   28,  31 970,  20 092,  4 278,  82 513,  14 844,  18 361,  8 673,  192 177,  311 594,  15 327,  2 316,  22 652,  119 545,  83 795, 2 928 793,  66 641,  93 189,  73 035,  10 186,  162 556,   15,   83,  1 956,  8 045,  495 013,  4 123,   504,  2 711,  6 368,  112 708,  681 644,  239 894,   94,  137 517,   516,  8 894,  11 499,  2 589,  84 096,  119 145,  12 385,  50 031,  352 891,   4,  61 224,  21 279,   818, 9 031 724, 2 407 232,  105 059, 1 592 567,  17 971,   3,  82 639,  323 979,  34 345,  286 801,  511 989,  181 001,  20 960,  1 047,  256 438,  46 699,  932 865,  18 565,  164 366,  314 106,  114 450,  58 578,   141,  40 911,   481,  26 808,  172 719, 1 101 461,   406,  613 604,   534,   650,  14 928,  46 826,  16 377,  7 067,  78 139,  9 431,   599,  28 304,  55 260,  2 960,  220 720,  634 228, 2 300 283,  131 323,   82,  816 887,  116 679,  4 061,  49 793,  346 115,  148 862,  269 215,   46,  2 658,  11 508,  13 479, 4 278 384,  2 490,  26 366,   163,  648 796,  463 920, 2 223 250,  160 198,  252 588,  23 563,  14 377,  346 195,  57 056,  1 510,  157 188, 3 948 264,  30 004,  1 227,  13 324,  16 498,   54,  15 792,  31 450,   73,  8 000,  116 312,  73 024,  117 063,  1 141,  5 495,  118 922,  3 150,  1 591,  1 826,   344,  756 197,  101 908,  109 968,  290 665,  579 470, 3 565 854,  522 817,  37 427,  93 523,  18 578,  43 762,  414 277,  67 084,  196 157,  49 777,  20 195,  332 963,   30,  2 311,  21 730,  53 209,  321 622,  24 970,   316,   387,  279 680,  727 410,  87 887,  680 999,  46 896, 1 721 315,  4 103,  170 469,  415 744,  5 545,  129 184,  261 481,  7 723,  101 462,  846 633,  112 167,  391 202,,,,,,,,,,,,,,,
6,Sub-Saharan Africa,(f),947,,, 17 228 396,  415 230,  947 988,   50,   83,  11 141,   4,0,  283 372,0,0,  2 370,0,0,  6 514,  2 783,   1,   1,   89,  2 937,   28,   110,  9 748,0,  452 252,   57,0,   83,   166,  52 715,  4 184,   15,   14,  3 867, 1 616 175,  252 611,0,  150 190,  5 549,  20 199,   694,0,  117 251,  318 481,0,   366,  57 506,  1 263,0,   271,  65 553,  76 594,0,0,  836 998,   515,  1 419,  7 953,  2 655,  1 077,   550, 1 027 717,  3 021,  3 827,0,0,0,  40 635,   2,  93 573,  160 783,   74,  116 098,0,   2,   24,   351,  192 925,   1,0,  8 553,  16 034,0,  36 715,  334 969,   27,  4 914,0,0,0,0,   63,  319 019,  47 697,   28,   5,0,0,   3,   22,  98 327,  1 331,   527,   326,  12 567,0,  3 362,  26 376,   135,  1 773,   53,0,  102 914,0,   153,   18,   31,   391,  9 832,  321 909,  256 246,  7 497,0,   297,   25,  36 246,  260 369,  1 015,   90,  772 242,   239,0,0,  104 741,  16 526,  6 983,   270,0,   24,   1,0,0,  5 668,  706 213,   203,  132 756,   16,   275,  21 026,0,  2 939,   103,  261 378,  362 146,   22,   20,  1 189,   43,  17 305,0,   41,   61,   83,   149,  2 185,  9 276,  73 161,0,   25,  1 867,0,  1 166,  1 235,  7 123,  299 906,   166,   37,0,0,0,0,0,  16 772,  2 756,  247 532,  2 840,  1 437,  260 220,   890,  1 617,   296,0,   4, 1 115 579,  89 488,  648 667,  2 722,  3 342,   427,  567 082,0,  93 605,   722,  1 996,   541,0,  1 088,   114,   7,  408 932,0,0,   20,   856,  1 109,0,0,0,  515 773,  3 829,   320,  338 100,  159 770,  26 494,   70,   80,0,   1,   211,   176,0,0,   636,  167 696,  457 206,,,,,,,,,,,,,,,
7,AFRICA,,903,,, 18 644 454,  421 267,  964 036,   497,   502,  45 626,   4,0,  283 411,0,   24,  2 447,   358,0,  7 723,  3 996,   47,   22,  1 651,  4 955,   28,  1 339,  10 840,   7,  452 265,   57,   1,   84,   625,  52 725,  4 542,   15,   82,  3 923, 1 616 230,  252 624,   7,  150 283,  10 150,  20 199,   694,0,  117 319,  319 869,0,   401,  62 470,  1 270,0,   310,  72 489,  77 155,0,   1,  837 990,   566,  1 424,  7 953,  2 710,  1 161,   614, 1 028 322,  4 266,  6 128,0,0,   17,  61 225,  1 144,  93 574,  164 551,   120,  119 282,0,   2,   25,  1 692,  209 560,   8,0,  8 560,  16 050,   10,  48 062,  335 962,   40,  9 141,0,0,0,0,   76,  319 979,  49 089,   28,   5,0,   1,   475,   23,  106 145,  22 855,  1 101,  111 556,  12 623,0,  3 413,  40 639,   135,  3 396,  33 992,  1 296,  103 383,0,  17 585,   106,   32,   392,  28 380,  321 916,  256 302,  24 472,   1,   304,   32,  36 267,  260 408,  13 803,   167,  773 070,   240,0,0,  105 756,  16 531,  6 983,   316,0,   408,   44,0,0,  19 794,  706 237,   220,  132 769,   16,   282,  23 883,0,  2 977,   104,  261 876,  366 747,   22,   20,  1 658,  2 777,  21 275,0,   42,   62,   84,   154,  9 304,  10 375,  73 207,0,  2 310,  3 025,   88,  1 166,  2 198,  18 818,  299 919,   166,   38,0,0,0,   1,   1,  16 779,  61 354,  251 003,  2 841,  1 466,  260 551,  1 972,  1 617,   334,   5,   4, 1 285 664,  90 535,  654 576,  3 895,  3 855,  440 012,  592 636,0,  93 612,  1 931,  3 503,  46 903,  1 099,  5 689,   165,   7,  408 939,0,0,   20,  5 834,  5 203,   331,0,0,  515 845,  5 243,  4 802,  349 774,  160 141,  42 451,   70,   85,   526,   1,   258,   177,0,  101 451,  36 280,  167 718,  457 228,,,,,,,,,,,,,,,
8,Eastern Africa,,910,,, 5 217 048,  118 488,  312 710,0,0,  2 953,   4,0,  45 910,0,0,   6,0,0,   258,   17,   1,0,0,   351,0,0,  1 184,0,0,0,0,0,0,  4 240,   1,   3,0,   3,0,  223 742,0,   9,   967,  6 653,0,0,  4 075,  4 454,0,0,  27 278,   74,0,0,  65 452,  27 129,0,0,   76,   1,   61,0,0,   1,   199,  654 298,   176,  3 827,0,0,0,  4 534,0,0,  15 672,0,  46 882,0,0,0,   1,  114 717,   1,0,   1,0,0,  2 171,   114,0,   37,0,0,0,0,0,   3,0,0,   1,0,0,   3,   6,  40 595,   134,   1,0,   14,0,   3,  1 652,0,   363,0,0,  83 361,0,0,0,0,0,   3,  7 841,0,   180,0,   1,   1,  35 238,  186 116,   162,   37,   274,0,0,0,0,  6 458,  6 983,0,0,0,   1,0,0,   11,  233 880,0,   749,0,   156,   219,0,   1,0,0,  3 250,   7,0,   1,   12,  4 919,0,0,   3,0,0,   669,0,  4 344,0,0,   197,0,   854,   4,   470,  145 066,0,   13,0,0,0,0,0,0,0,   100,   1,   542,   1,   41,0,   1,0,0, 1 096 381,  31 074,  349 436,   69,   568,0,  456 900,0,   91,   36,   169,   1,0,   228,0,0,   3,0,0,   1,0,0,0,0,0,  506 921,   14,   1,  21 872,  146 364,  3 032,0,0,0,   1,   1,   64,0,0,   447,  83 131,  66 570,,,,,,,,,,,,,,,
9,Burundi,,108,B R,E,  254 477,  2 877,  18 277,,,,,,,,,,,,,,,,,,,,   538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  148 852,,,,,,,,,,,,,,,,   268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  57 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   791,,,,  24 851,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Comoros,,174,B,E,  12 511,   597,   754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   76,,,,,,,,,,,,,  9 607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   145,,,,,,,,,,,,,,,,,,,,,,,,,,,
